date,equity,cash,invested,gross_pct,regime,n_positions
2019-08-28,1000000.0,600000.0,400000.0,0.4,空頭,3
2019-08-29,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-08-30,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-02,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-03,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-04,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-05,1067308.57,300000.0,767308.57,0.7189,盤整,5
2019-09-06,1065167.99,300000.0,765167.99,0.7184,盤整,5
2019-09-10,1044886.49,300000.0,744886.49,0.7129,盤整,5
2019-09-11,1046500.49,300000.0,746500.49,0.7133,盤整,5
2019-09-12,1057514.7,300000.0,757514.7,0.7163,盤整,5
2019-09-16,1059559.59,300000.0,759559.59,0.7169,盤整,5
2019-09-17,1065129.99,300000.0,765129.99,0.7183,盤整,5
2019-09-18,1060894.53,300000.0,760894.53,0.7172,盤整,5
2019-09-19,1058293.28,300000.0,758293.28,0.7165,盤整,5
2019-09-20,1071236.55,300000.0,771236.55,0.7199,盤整,5
2019-09-23,1081013.37,300000.0,781013.37,0.7225,盤整,5
2019-09-24,1076181.46,0.0,1076181.46,1.0,多頭,7
2019-09-25,1073832.95,0.0,1073832.95,1.0,多頭,7
2019-09-26,1057786.72,0.0,1057786.72,1.0,多頭,7
2019-09-27,1049925.07,0.0,1049925.07,1.0,多頭,7
2019-10-01,1058297.24,0.0,1058297.24,1.0,多頭,7
2019-10-02,1067653.91,0.0,1067653.91,1.0,多頭,7
2019-10-03,1067780.28,0.0,1067780.28,1.0,多頭,7
2019-10-04,1067348.8,0.0,1067348.8,1.0,多頭,7
2019-10-07,1079742.05,0.0,1079742.05,1.0,多頭,7
2019-10-08,1106965.13,0.0,1106965.13,1.0,多頭,7
2019-10-09,1100093.7,0.0,1100093.7,1.0,盤整,7
2019-10-14,1135619.94,0.0,1135619.94,1.0,多頭,7
2019-10-15,1135134.66,0.0,1135134.66,1.0,多頭,7
2019-10-16,1134979.82,0.0,1134979.82,1.0,多頭,7
2019-10-17,1149353.72,0.0,1149353.72,1.0,多頭,7
2019-10-18,1157797.67,0.0,1157797.67,1.0,多頭,7
2019-10-21,1152839.21,0.0,1152839.21,1.0,多頭,7
2019-10-22,1150186.18,0.0,1150186.18,1.0,多頭,7
2019-10-23,1156335.09,0.0,1156335.09,1.0,多頭,7
2019-10-24,1161892.88,0.0,1161892.88,1.0,多頭,7
2019-10-25,1154661.93,0.0,1154661.93,1.0,多頭,7
2019-10-28,1161772.05,0.0,1161772.05,1.0,多頭,7
2019-10-29,1159162.62,0.0,1159162.62,1.0,多頭,7
2019-10-30,1170212.26,0.0,1170212.26,1.0,多頭,7
2019-10-31,1164615.55,0.0,1164615.55,1.0,多頭,7
2019-11-01,1155276.21,0.0,1155276.21,1.0,多頭,7
2019-11-04,1186295.75,0.0,1186295.75,1.0,多頭,7
2019-11-05,1193472.42,0.0,1193472.42,1.0,多頭,7
2019-11-06,1181633.57,0.0,1181633.57,1.0,多頭,7
2019-11-07,1167462.2,0.0,1167462.2,1.0,多頭,7
2019-11-08,1173017.16,0.0,1173017.16,1.0,多頭,7
2019-11-11,1160015.72,0.0,1160015.72,1.0,多頭,7
2019-11-12,1195857.1,0.0,1195857.1,1.0,多頭,7
2019-11-13,1190078.23,0.0,1190078.23,1.0,多頭,7
2019-11-14,1179681.03,0.0,1179681.03,1.0,多頭,7
2019-11-15,1180904.14,0.0,1180904.14,1.0,多頭,7
2019-11-18,1191364.64,0.0,1191364.64,1.0,多頭,7
2019-11-19,1194516.7,0.0,1194516.7,1.0,多頭,7
2019-11-20,1190663.41,0.0,1190663.41,1.0,多頭,7
2019-11-21,1188614.2,0.0,1188614.2,1.0,多頭,7
2019-11-22,1182542.89,0.0,1182542.89,1.0,多頭,7
2019-11-25,1178551.39,0.0,1178551.39,1.0,多頭,7
2019-11-26,1184290.57,0.0,1184290.57,1.0,多頭,7
2019-11-27,1182412.14,0.0,1182412.14,1.0,多頭,7
2019-11-28,1177627.97,0.0,1177627.97,1.0,多頭,7
2019-11-29,1166013.82,0.0,1166013.82,1.0,盤整,7
2019-12-02,1166794.15,350161.0,816633.15,0.6999,盤整,5
2019-12-03,1166763.42,349741.2,817022.22,0.7002,盤整,5
2019-12-04,1162995.78,349741.2,813254.59,0.6993,盤整,5
2019-12-05,1165891.92,0.0,1165891.92,1.0,多頭,7
2019-12-06,1167511.34,0.0,1167511.34,1.0,多頭,7
2019-12-09,1166318.6,0.0,1166318.6,1.0,多頭,7
2019-12-10,1170197.31,0.0,1170197.31,1.0,多頭,7
2019-12-11,1190382.77,0.0,1190382.77,1.0,多頭,7
2019-12-12,1189964.24,0.0,1189964.24,1.0,多頭,7
2019-12-13,1172520.75,0.0,1172520.75,1.0,多頭,7
2019-12-16,1183118.48,0.0,1183118.48,1.0,多頭,7
2019-12-17,1177206.1,0.0,1177206.1,1.0,多頭,7
2019-12-18,1173725.01,0.0,1173725.01,1.0,多頭,7
2019-12-19,1170828.58,0.0,1170828.58,1.0,多頭,7
2019-12-20,1176572.12,0.0,1176572.12,1.0,多頭,7
2019-12-23,1167790.12,0.0,1167790.12,1.0,多頭,7
2019-12-24,1182465.29,0.0,1182465.29,1.0,多頭,7
2019-12-25,1196327.15,0.0,1196327.15,1.0,多頭,7
2019-12-26,1197592.08,0.0,1197592.08,1.0,多頭,7
2019-12-27,1216250.72,0.0,1216250.72,1.0,多頭,7
2019-12-30,1236745.21,0.0,1236745.21,1.0,多頭,7
2019-12-31,1224341.92,0.0,1224341.92,1.0,多頭,7
2020-01-02,1242987.88,102406.88,1140581.0,0.9176,多頭,7
2020-01-03,1227814.38,0.0,1227814.38,1.0,多頭,8
2020-01-06,1207832.41,346187.19,861645.21,0.7134,盤整,6
2020-01-07,1200685.11,346187.19,854497.92,0.7117,盤整,6
2020-01-08,1198335.62,346187.19,852148.42,0.7111,盤整,6
