date,equity,cash,invested,gross_pct,regime,n_positions
2019-08-28,1000000.0,600000.0,400000.0,0.4,空頭,3
2019-08-29,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-08-30,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-02,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-03,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-04,1000000.0,300000.0,700000.0,0.7,盤整,5
2019-09-05,1066802.82,320083.34,746719.48,0.7,盤整,5
2019-09-06,1064738.66,320083.34,744655.32,0.6994,盤整,5
2019-09-10,1044731.65,313442.62,731289.03,0.7,盤整,6
2019-09-11,1043864.98,313553.15,730311.84,0.6996,盤整,6
2019-09-12,1051832.31,315556.6,736275.71,0.7,盤整,7
2019-09-16,1046207.26,315556.6,730650.65,0.6984,盤整,7
2019-09-17,1049619.45,315556.6,734062.85,0.6994,盤整,7
2019-09-18,1048473.01,315556.6,732916.41,0.699,盤整,7
2019-09-19,1044314.37,315556.6,728757.77,0.6978,盤整,7
2019-09-20,1048749.6,315556.6,733192.99,0.6991,盤整,7
2019-09-23,1062246.03,318435.03,743811.0,0.7002,盤整,7
2019-09-24,1050766.43,0.0,1050766.43,1.0,多頭,9
2019-09-25,1046281.62,0.0,1046281.62,1.0,多頭,9
2019-09-26,1032654.99,0.0,1032654.99,1.0,多頭,9
2019-09-27,1029631.21,0.0,1029631.21,1.0,多頭,9
2019-10-01,1052352.1,0.0,1052352.1,1.0,多頭,9
2019-10-02,1064582.4,0.0,1064582.4,1.0,多頭,9
2019-10-03,1060116.99,0.0,1060116.99,1.0,多頭,9
2019-10-04,1059850.94,0.0,1059850.94,1.0,多頭,9
2019-10-07,1067582.48,0.0,1067582.48,1.0,多頭,9
2019-10-08,1084704.01,0.0,1084704.01,1.0,多頭,9
2019-10-09,1078346.85,51651.5,1026695.35,0.9521,盤整,7
2019-10-14,1112541.82,0.0,1112541.82,1.0,多頭,8
2019-10-15,1107235.54,0.0,1107235.54,1.0,多頭,8
2019-10-16,1111186.16,0.0,1111186.16,1.0,多頭,8
2019-10-17,1125300.78,0.0,1125300.78,1.0,多頭,8
2019-10-18,1131662.84,0.0,1131662.84,1.0,多頭,8
2019-10-21,1124143.62,0.0,1124143.62,1.0,多頭,8
2019-10-22,1126114.98,0.0,1126114.98,1.0,多頭,8
2019-10-23,1130005.15,0.0,1130005.15,1.0,多頭,8
2019-10-24,1142227.22,0.0,1142227.22,1.0,多頭,8
2019-10-25,1143600.84,0.0,1143600.84,1.0,多頭,8
2019-10-28,1154564.18,0.0,1154564.18,1.0,多頭,8
2019-10-29,1160045.34,0.0,1160045.34,1.0,多頭,8
2019-10-30,1159846.1,0.0,1159846.1,1.0,多頭,8
2019-10-31,1151143.6,0.0,1151143.6,1.0,多頭,8
2019-11-01,1154088.34,0.0,1154088.34,1.0,多頭,8
2019-11-04,1169368.03,0.0,1169368.03,1.0,多頭,8
2019-11-05,1174101.77,0.0,1174101.77,1.0,多頭,8
2019-11-06,1162321.63,0.0,1162321.63,1.0,多頭,8
2019-11-07,1148791.64,0.0,1148791.64,1.0,多頭,8
2019-11-08,1153079.79,0.0,1153079.79,1.0,多頭,8
2019-11-11,1147146.11,0.0,1147146.11,1.0,多頭,8
2019-11-12,1185407.79,0.0,1185407.79,1.0,多頭,8
2019-11-13,1184620.05,0.0,1184620.05,1.0,多頭,8
2019-11-14,1179756.08,0.0,1179756.08,1.0,多頭,8
2019-11-15,1176866.46,0.0,1176866.46,1.0,多頭,8
2019-11-18,1183744.09,0.0,1183744.09,1.0,多頭,8
2019-11-19,1174385.9,0.0,1174385.9,1.0,多頭,8
2019-11-20,1156632.58,0.0,1156632.58,1.0,多頭,8
2019-11-21,1151253.94,0.0,1151253.94,1.0,多頭,8
2019-11-22,1154365.05,0.0,1154365.05,1.0,多頭,8
2019-11-25,1141103.25,0.0,1141103.25,1.0,多頭,8
2019-11-26,1159554.04,0.0,1159554.04,1.0,多頭,8
2019-11-27,1155618.09,0.0,1155618.09,1.0,多頭,8
2019-11-28,1152048.69,0.0,1152048.69,1.0,多頭,8
2019-11-29,1136983.94,261444.67,875539.27,0.7701,盤整,6
2019-12-02,1131483.83,339513.53,791970.29,0.6999,盤整,6
2019-12-03,1129408.03,339513.53,789894.49,0.6994,盤整,6
2019-12-04,1137308.45,341148.54,796159.91,0.7,盤整,7
2019-12-05,1137277.58,0.0,1137277.58,1.0,多頭,9
2019-12-06,1143509.44,0.0,1143509.44,1.0,多頭,9
2019-12-09,1143423.45,0.0,1143423.45,1.0,多頭,9
2019-12-10,1156025.38,0.0,1156025.38,1.0,多頭,9
2019-12-11,1165563.92,0.0,1165563.92,1.0,多頭,9
2019-12-12,1179464.2,0.0,1179464.2,1.0,多頭,9
2019-12-13,1199741.43,0.0,1199741.43,1.0,多頭,9
2019-12-16,1206247.79,0.0,1206247.79,1.0,多頭,9
2019-12-17,1201986.48,0.0,1201986.48,1.0,多頭,9
2019-12-18,1208958.33,0.0,1208958.33,1.0,多頭,9
2019-12-19,1196783.68,0.0,1196783.68,1.0,多頭,10
2019-12-20,1194384.2,0.0,1194384.2,1.0,多頭,10
2019-12-23,1200340.09,0.0,1200340.09,1.0,多頭,10
2019-12-24,1206388.73,0.0,1206388.73,1.0,多頭,10
2019-12-25,1211735.97,0.0,1211735.97,1.0,多頭,10
2019-12-26,1214123.57,0.0,1214123.57,1.0,多頭,10
2019-12-27,1221060.5,0.0,1221060.5,1.0,多頭,10
2019-12-30,1230058.11,0.0,1230058.11,1.0,多頭,10
2019-12-31,1222933.52,0.0,1222933.52,1.0,多頭,10
2020-01-02,1245917.8,0.0,1245917.8,1.0,多頭,10
2020-01-03,1254043.42,0.0,1254043.42,1.0,多頭,9
2020-01-06,1250095.01,376104.21,873990.8,0.6991,盤整,6
2020-01-07,1232822.11,376104.21,856717.89,0.6949,盤整,6
2020-01-08,1225384.33,367615.3,857769.03,0.7,盤整,7
