代號,名稱,族群,量化分數,趨勢狀態,籌碼訊號,20日乖離%,系統評級
8255,朋程,功率元件,81.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(54)、乖離適中(+3.0%)
6415,矽力-KY,功率元件,81.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(55)
5347,世界,功率元件,81.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(55)
5285,界霖,功率元件,80.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|W底形成中（距頸線2.8%，等待突破）（無量，僅觀察）
3016,嘉晶,第三代半導體,80.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(56)
3707,漢磊,第三代半導體,79.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(57)
2351,順德,功率元件,79.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(55)
8081,致新,功率元件,79.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(60)
3588,通嘉,功率元件,79.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(58)
5299,杰力,功率元件,78.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(60)
6719,力智,功率元件,78.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(61)
5425,台半,功率元件,77.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(64)
3317,尼克森,功率元件,77.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(63)
3675,德微,功率元件,77.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(62)
2481,強茂,功率元件,76.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境但條件不足（RSI=67 乖離=+23.2%）
2342,茂矽,功率元件,76.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境但條件不足（RSI=66 乖離=+17.7%）
6435,大中,功率元件,75.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境但條件不足（RSI=69 乖離=+20.3%）
6525,捷敏-KY,功率元件,73.0,上升趨勢,,0.0,B 級追蹤，等待確認|B 級追蹤|可進場、分批佈局（B級追蹤）|籌碼資料不完整（缺 1 日），略過籌碼機制；D55突破（帶量中期突破）
2369,菱生,功率元件,66.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境 + RSI健康區(55)
2434,統懋,功率元件,65.0,上升趨勢,,0.0,B 級追蹤，等待確認|B 級追蹤|可進場、分批佈局（B級追蹤）|D55突破（帶量中期突破）
8261,富鼎,功率元件,64.0,上升趨勢,,0.0,C 級觀察，列入追蹤|C 級觀察|持股續抱、暫不加碼|多頭環境但條件不足（RSI=78 乖離=+43.6%）
6573,虹揚-KY,功率元件,64.0,上升趨勢,,0.0,B 級追蹤，等待確認|B 級追蹤|可進場、分批佈局（B級追蹤）|D55突破（帶量中期突破）
6138,茂達,功率元件,42.0,上升趨勢,,0.0,注意賣訊（REVERSAL）|賣出訊號|持股續抱、暫不加碼|法人連賣 9 天且近5日日均賣超 529 張，籌碼快速惡化
6761,穩得,功率元件,16.0,下降趨勢,,0.0,不建議關注|方向不對|不參與|強空頭，方向分 16 < 40
