symbol,as_of,regime,r_strength,ret_10_net
4576,2019-09-10,盤整,strong,0.236
2338,2020-01-08,盤整,strong,-11.061
2342,2020-01-30,盤整,strong,5.701
2375,2020-01-30,盤整,strong,3.518
2436,2020-01-30,盤整,strong,-2.291
2449,2020-01-30,盤整,strong,8.852
2454,2020-01-30,盤整,strong,4.74
2472,2020-01-30,盤整,strong,2.043
3016,2020-01-30,盤整,strong,2.812
3026,2020-01-30,盤整,strong,14.877
3149,2020-01-30,盤整,strong,-0.223
3317,2020-01-30,盤整,strong,-0.82
3354,2020-01-30,盤整,strong,4.397
3707,2020-01-30,盤整,strong,0.617
4919,2020-01-30,盤整,strong,-0.223
5299,2020-01-30,盤整,strong,-1.07
5425,2020-01-30,盤整,strong,1.948
6435,2020-01-30,盤整,strong,-3.024
6548,2020-01-30,盤整,strong,-1.111
6573,2020-01-30,盤整,strong,-6.807
8261,2020-01-30,盤整,strong,3.375
2375,2020-01-31,盤整,strong,11.359
2449,2020-01-31,盤整,strong,10.736
2481,2020-01-31,盤整,strong,7.241
3317,2020-01-31,盤整,strong,12.209
4919,2020-01-31,盤整,strong,4.134
5299,2020-01-31,盤整,strong,8.823
5425,2020-01-31,盤整,strong,8.02
6173,2020-01-31,盤整,strong,11.72
6284,2020-01-31,盤整,strong,9.194
6435,2020-01-31,盤整,strong,6.297
6548,2020-01-31,盤整,strong,0.87
8261,2020-01-31,盤整,strong,6.617
1802,2020-02-03,盤整,strong,-12.324
2313,2020-02-03,盤整,strong,-6.48
2338,2020-02-03,盤整,strong,-13.543
2342,2020-02-03,盤整,strong,10.469
2367,2020-02-03,盤整,strong,-6.194
2375,2020-02-03,盤整,strong,0.414
2436,2020-02-03,盤整,strong,-14.333
2449,2020-02-03,盤整,strong,-11.152
2472,2020-02-03,盤整,strong,-10.387
2481,2020-02-03,盤整,strong,-3.686
3016,2020-02-03,盤整,strong,0.007
3026,2020-02-03,盤整,strong,16.436
3234,2020-02-03,盤整,strong,1.144
3317,2020-02-03,盤整,strong,7.4
3354,2020-02-03,盤整,strong,6.452
3588,2020-02-03,盤整,strong,-15.417
4540,2020-02-03,盤整,strong,-0.068
4919,2020-02-03,盤整,strong,-11.828
5285,2020-02-03,盤整,strong,-5.004
5299,2020-02-03,盤整,strong,8.74
5425,2020-02-03,盤整,strong,5.779
6138,2020-02-03,盤整,strong,2.944
6173,2020-02-03,盤整,strong,7.695
6175,2020-02-03,盤整,strong,4.213
6182,2020-02-03,盤整,strong,9.59
6215,2020-02-03,盤整,strong,-15.446
6244,2020-02-03,盤整,strong,7.317
6284,2020-02-03,盤整,strong,11.132
6435,2020-02-03,盤整,strong,7.25
6525,2020-02-03,盤整,strong,-8.325
6548,2020-02-03,盤整,strong,0.899
6573,2020-02-03,盤整,strong,-2.927
8081,2020-02-03,盤整,strong,-6.207
8261,2020-02-03,盤整,strong,-12.701
2481,2020-02-04,盤整,strong,5.983
3317,2020-02-04,盤整,strong,5.116
3354,2020-02-04,盤整,strong,4.058
5299,2020-02-04,盤整,strong,8.552
5425,2020-02-04,盤整,strong,1.833
6244,2020-02-04,盤整,strong,4.317
6435,2020-02-04,盤整,strong,6.707
6548,2020-02-04,盤整,strong,-0.585
6573,2020-02-04,盤整,strong,-4.484
6244,2020-02-05,盤整,strong,5.921
6548,2020-02-05,盤整,strong,0.329
6573,2020-02-05,盤整,strong,1.385
8081,2020-02-05,盤整,strong,6.688
6548,2020-02-06,盤整,strong,-0.221
6573,2020-02-06,盤整,strong,-2.503
6548,2020-02-07,盤整,strong,1.498
3234,2020-02-10,盤整,strong,3.68
6548,2020-02-10,盤整,strong,-0.955
6548,2020-02-11,盤整,strong,-1.326
2313,2020-08-20,盤整,strong,-1.798
2327,2020-08-20,盤整,strong,0.305
2367,2020-08-20,盤整,strong,-1.05
2375,2020-08-20,盤整,strong,-2.102
2449,2020-08-20,盤整,strong,-3.241
2454,2020-08-20,盤整,strong,2.846
2478,2020-08-20,盤整,strong,1.338
3227,2020-08-20,盤整,strong,1.789
3234,2020-08-20,盤整,strong,7.069
3588,2020-08-20,盤整,strong,6.691
3675,2020-08-20,盤整,strong,5.38
3707,2020-08-20,盤整,strong,1.26
3711,2020-08-20,盤整,strong,-3.837
6643,2020-08-20,盤整,strong,7.677
2367,2020-08-21,盤整,strong,-2.868
2375,2020-08-21,盤整,strong,-1.87
2454,2020-08-21,盤整,strong,-0.752
3227,2020-08-21,盤整,strong,2.314
3707,2020-08-21,盤整,strong,8.523
2327,2020-08-24,盤整,strong,3.893
2367,2020-08-24,盤整,strong,0.123
2375,2020-08-24,盤整,strong,-1.882
3189,2020-08-24,盤整,strong,-5.063
3707,2020-08-24,盤整,strong,7.655
2049,2020-09-22,盤整,strong,-3.402
3305,2020-09-24,盤整,strong,10.385
3305,2020-09-25,盤整,strong,5.754
6175,2020-09-25,盤整,strong,1.626
6215,2020-09-25,盤整,strong,3.01
3675,2020-10-05,盤整,strong,20.819
6435,2021-01-28,盤整,strong,8.424
3189,2021-01-29,盤整,strong,21.258
6244,2021-01-29,盤整,strong,16.943
6435,2021-01-29,盤整,strong,13.969
3189,2021-02-01,盤整,strong,29.651
3317,2021-02-01,盤整,strong,23.158
6244,2021-02-01,盤整,strong,11.671
6435,2021-02-01,盤整,strong,12.438
8261,2021-02-01,盤整,strong,9.641
5347,2021-03-05,盤整,strong,1.751
5347,2021-03-08,盤整,strong,6.841
5347,2021-03-09,盤整,strong,1.347
6415,2021-03-09,盤整,strong,-7.532
2338,2021-05-04,盤整,strong,-3.102
2342,2021-05-04,盤整,strong,-13.156
2375,2021-05-04,盤整,strong,-11.426
2472,2021-05-04,盤整,strong,-6.29
3189,2021-05-04,盤整,strong,-4.667
3234,2021-05-04,盤整,strong,-13.949
3354,2021-05-04,盤整,strong,-6.945
3588,2021-05-04,盤整,strong,-12.901
3707,2021-05-04,盤整,strong,-9.085
4540,2021-05-04,盤整,strong,-15.38
4576,2021-05-04,盤整,strong,-9.816
6175,2021-05-04,盤整,strong,-14.986
6215,2021-05-04,盤整,strong,-10.277
6244,2021-05-04,盤整,strong,-7.451
6284,2021-05-04,盤整,strong,-9.914
6435,2021-05-04,盤整,strong,-14.278
6770,2021-05-04,盤整,strong,-10.979
2327,2021-05-05,盤整,strong,-11.885
2342,2021-05-05,盤整,strong,-16.283
2375,2021-05-05,盤整,strong,-10.294
2472,2021-05-05,盤整,strong,-6.373
2478,2021-05-05,盤整,strong,-9.218
2481,2021-05-05,盤整,strong,-13.753
2492,2021-05-05,盤整,strong,-13.056
3016,2021-05-05,盤整,strong,-11.664
3189,2021-05-05,盤整,strong,-8.71
3234,2021-05-05,盤整,strong,-20.436
3354,2021-05-05,盤整,strong,-11.469
3588,2021-05-05,盤整,strong,-12.266
3707,2021-05-05,盤整,strong,-4.888
4540,2021-05-05,盤整,strong,-18.398
4576,2021-05-05,盤整,strong,-8.585
5299,2021-05-05,盤整,strong,-11.111
5425,2021-05-05,盤整,strong,-13.985
6138,2021-05-05,盤整,strong,-7.508
6244,2021-05-05,盤整,strong,-12.031
6435,2021-05-05,盤整,strong,-13.461
6548,2021-05-05,盤整,strong,-13.816
6643,2021-05-05,盤整,strong,-9.092
6770,2021-05-05,盤整,strong,-12.331
8081,2021-05-05,盤整,strong,3.09
2313,2021-05-06,盤整,strong,-8.721
2337,2021-05-06,盤整,strong,-7.539
2338,2021-05-06,盤整,strong,-3.17
2342,2021-05-06,盤整,strong,-13.957
2375,2021-05-06,盤整,strong,-10.632
2472,2021-05-06,盤整,strong,-6.29
2478,2021-05-06,盤整,strong,-6.45
2481,2021-05-06,盤整,strong,-10.624
3189,2021-05-06,盤整,strong,-3.466
3588,2021-05-06,盤整,strong,-12.706
3707,2021-05-06,盤整,strong,-6.467
5285,2021-05-06,盤整,strong,-11.942
5425,2021-05-06,盤整,strong,-12.218
6175,2021-05-06,盤整,strong,-13.273
6435,2021-05-06,盤整,strong,-11.744
6548,2021-05-06,盤整,strong,-8.522
6770,2021-05-06,盤整,strong,-7.448
8081,2021-05-06,盤整,strong,5.189
2049,2021-05-11,盤整,strong,6.281
2313,2021-05-11,盤整,strong,1.473
2327,2021-05-11,盤整,strong,1.974
2337,2021-05-11,盤整,strong,2.968
2342,2021-05-11,盤整,strong,-2.936
2355,2021-05-11,盤整,strong,-4.639
2375,2021-05-11,盤整,strong,2.88
2401,2021-05-11,盤整,strong,2.826
2421,2021-05-11,盤整,strong,-2.416
2436,2021-05-11,盤整,strong,-0.902
2481,2021-05-11,盤整,strong,3.278
2492,2021-05-11,盤整,strong,-0.585
3015,2021-05-11,盤整,strong,-6.493
3016,2021-05-11,盤整,strong,2.54
3189,2021-05-11,盤整,strong,15.526
3234,2021-05-11,盤整,strong,3.793
3305,2021-05-11,盤整,strong,4.421
3588,2021-05-11,盤整,strong,6.275
3707,2021-05-11,盤整,strong,16.112
4540,2021-05-11,盤整,strong,0.399
5285,2021-05-11,盤整,strong,2.924
5299,2021-05-11,盤整,strong,4.345
5425,2021-05-11,盤整,strong,-2.078
6138,2021-05-11,盤整,strong,10.353
6173,2021-05-11,盤整,strong,-2.52
6175,2021-05-11,盤整,strong,-6.267
6244,2021-05-11,盤整,strong,-4.667
6284,2021-05-11,盤整,strong,4.058
6435,2021-05-11,盤整,strong,1.284
6443,2021-05-11,盤整,strong,-5.424
6548,2021-05-11,盤整,strong,5.38
6573,2021-05-11,盤整,strong,-6.416
8081,2021-05-11,盤整,strong,22.014
8374,2021-05-11,盤整,strong,5.588
2049,2021-05-12,盤整,strong,11.32
2313,2021-05-12,盤整,strong,13.051
2317,2021-05-12,盤整,strong,9.465
2327,2021-05-12,盤整,strong,17.856
2337,2021-05-12,盤整,strong,15.04
2338,2021-05-12,盤整,strong,26.769
2342,2021-05-12,盤整,strong,11.558
2351,2021-05-12,盤整,strong,21.344
2355,2021-05-12,盤整,strong,8.261
2359,2021-05-12,盤整,strong,4.727
2369,2021-05-12,盤整,strong,13.462
2375,2021-05-12,盤整,strong,25.936
2401,2021-05-12,盤整,strong,24.309
2409,2021-05-12,盤整,strong,8.638
2421,2021-05-12,盤整,strong,13.588
2436,2021-05-12,盤整,strong,4.933
2454,2021-05-12,盤整,strong,4.945
2464,2021-05-12,盤整,strong,2.328
2472,2021-05-12,盤整,strong,9.52
2478,2021-05-12,盤整,strong,8.243
2481,2021-05-12,盤整,strong,14.261
2492,2021-05-12,盤整,strong,7.771
3015,2021-05-12,盤整,strong,6.165
3016,2021-05-12,盤整,strong,12.105
3149,2021-05-12,盤整,strong,18.143
3189,2021-05-12,盤整,strong,19.182
3227,2021-05-12,盤整,strong,6.79
3234,2021-05-12,盤整,strong,14.769
3305,2021-05-12,盤整,strong,20.844
3317,2021-05-12,盤整,strong,17.151
3354,2021-05-12,盤整,strong,17.441
3481,2021-05-12,盤整,strong,8.415
3588,2021-05-12,盤整,strong,15.213
3675,2021-05-12,盤整,strong,11.637
3707,2021-05-12,盤整,strong,20.506
3711,2021-05-12,盤整,strong,14.759
4540,2021-05-12,盤整,strong,9.134
4576,2021-05-12,盤整,strong,13.316
5285,2021-05-12,盤整,strong,11.776
5299,2021-05-12,盤整,strong,12.294
5347,2021-05-12,盤整,strong,13.074
5425,2021-05-12,盤整,strong,17.655
6138,2021-05-12,盤整,strong,16.731
6173,2021-05-12,盤整,strong,12.736
6175,2021-05-12,盤整,strong,4.881
6182,2021-05-12,盤整,strong,12.537
6202,2021-05-12,盤整,strong,14.014
6207,2021-05-12,盤整,strong,9.571
6244,2021-05-12,盤整,strong,17.3
6282,2021-05-12,盤整,strong,6.382
6284,2021-05-12,盤整,strong,12.484
6435,2021-05-12,盤整,strong,7.831
6443,2021-05-12,盤整,strong,15.846
6548,2021-05-12,盤整,strong,5.184
6573,2021-05-12,盤整,strong,5.645
6643,2021-05-12,盤整,strong,11.093
6770,2021-05-12,盤整,strong,3.24
8081,2021-05-12,盤整,strong,22.104
8255,2021-05-12,盤整,strong,5.726
8261,2021-05-12,盤整,strong,5.217
8374,2021-05-12,盤整,strong,10.599
1303,2021-05-13,盤整,strong,5.245
2049,2021-05-13,盤整,strong,13.502
2313,2021-05-13,盤整,strong,8.687
2317,2021-05-13,盤整,strong,5.129
2327,2021-05-13,盤整,strong,11.287
2337,2021-05-13,盤整,strong,7.42
2338,2021-05-13,盤整,strong,16.656
2342,2021-05-13,盤整,strong,4.013
2351,2021-05-13,盤整,strong,18.656
2355,2021-05-13,盤整,strong,15.152
2359,2021-05-13,盤整,strong,1.825
2369,2021-05-13,盤整,strong,10.88
2375,2021-05-13,盤整,strong,8.269
2401,2021-05-13,盤整,strong,8.674
2409,2021-05-13,盤整,strong,2.485
2421,2021-05-13,盤整,strong,4.125
2436,2021-05-13,盤整,strong,16.307
2454,2021-05-13,盤整,strong,6.909
2464,2021-05-13,盤整,strong,4.772
2472,2021-05-13,盤整,strong,4.989
2478,2021-05-13,盤整,strong,3.174
2481,2021-05-13,盤整,strong,11.61
2492,2021-05-13,盤整,strong,4.213
3015,2021-05-13,盤整,strong,-1.267
3016,2021-05-13,盤整,strong,9.629
3149,2021-05-13,盤整,strong,6.693
3189,2021-05-13,盤整,strong,16.831
3234,2021-05-13,盤整,strong,4.467
3305,2021-05-13,盤整,strong,9.848
3317,2021-05-13,盤整,strong,12.162
3354,2021-05-13,盤整,strong,5.641
3481,2021-05-13,盤整,strong,1.01
3588,2021-05-13,盤整,strong,13.835
3675,2021-05-13,盤整,strong,11.123
4540,2021-05-13,盤整,strong,4.128
4576,2021-05-13,盤整,strong,6.528
5285,2021-05-13,盤整,strong,16.915
5299,2021-05-13,盤整,strong,5.753
5425,2021-05-13,盤整,strong,9.507
6173,2021-05-13,盤整,strong,3.659
6175,2021-05-13,盤整,strong,0.609
6182,2021-05-13,盤整,strong,9.491
6202,2021-05-13,盤整,strong,8.026
6207,2021-05-13,盤整,strong,0.833
6215,2021-05-13,盤整,strong,0.81
6244,2021-05-13,盤整,strong,1.721
6282,2021-05-13,盤整,strong,2.748
6284,2021-05-13,盤整,strong,9.027
6435,2021-05-13,盤整,strong,6.082
6443,2021-05-13,盤整,strong,0.332
6548,2021-05-13,盤整,strong,2.76
6573,2021-05-13,盤整,strong,3.503
6770,2021-05-13,盤整,strong,-1.109
8255,2021-05-13,盤整,strong,6.114
8261,2021-05-13,盤整,strong,1.218
8374,2021-05-13,盤整,strong,9.286
2338,2021-05-14,盤整,strong,34.615
2355,2021-05-14,盤整,strong,20.083
2359,2021-05-14,盤整,strong,9.092
2369,2021-05-14,盤整,strong,27.356
2401,2021-05-14,盤整,strong,26.436
2436,2021-05-14,盤整,strong,41.115
2464,2021-05-14,盤整,strong,19.622
